Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Abschnitt
1	Germ.Pont. 1	365	7		355	–	(1151-1155)	1151-01-01	1155-12-31	Hadrianus IV.	Roland Kardinalspriester des heiligen Marcus	Mönchsabt Konrad (I.) von dem Kloster Tegernsee		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
2	Germ.Pont. 1	92	10		356	–	[1156]	1156-01-01	1156-12-31	Hadrianus IV.	Roland Kardinalpriester der römischen Kirche	Schwestern und Nonnen des Klosters von Bergen		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
3	Germ.Pont. 1	26	84		359	Terracina	5 Oktober 1159	1159-10-05	1159-10-05	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard, Kirche, gesamter Klerus		10592	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
4	Germ.Pont. 1	27	85		360	Anagni	04 April (1160)	1160-04-04	1160-04-04	Alexander III.	Alexander III.	Erzbischof Eberhard von Salzburg, und seine Suffragane (Weihbischöfe)		10628	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
5	Germ.Pont. 1	395	6		360	Anagni	04 April (1160)	1160-04-04	1160-04-04	Alexander III.	Alexander III.	Erzbischof Eberhard von Salzburg, und seine Suffragane (Weihbischöfe)		10628	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
6	Germ.Pont. 1	198	28	*	*361	–	(1159-1161)	1159-01-01	1161-12-31	Alexander III.	Alexander III.	Gerhoch von Reichersberg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
7	Germ.Pont. 1	27	87		362	Anagni	20 Januar 1161	1161-01-20	1161-01-20	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard		10645	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
8	Germ.Pont. 1	29	93		363	Genova	16 März (1162)	1162-03-16	1162-03-16	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard		10702	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
9	Germ.Pont. 1	30	94		364	Dole	18 September (1162)	1162-09-18	1162-09-18	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard		10758	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
10	Germ.Pont. 1	199	31	*	*365	–	(cr. 1162)	1162-01-01	1162-12-31	Alexander III.	Alexander III.	Gerhoch von Reichersberg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
11	Germ.Pont. 1	30	95		366	Paris	28 Februar (1163)	1163-02-28	1163-02-28	Alexander III.	Alexander III.	Bischöfe und Äbte, Propste und die übrigen Prälaten der Kirche, der gesamte Klerus, das Volk, die (alle) im teutonischen Reich ansässig sind, die in der Einheit der Kirche verbleiben		10758	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
12	Germ.Pont. 1	30	96		367	Tours	29 Mai (1163)	1163-05-29	1163-05-29	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard, Bischof Hartmann von Brixen, die übrigen unter dem Erzbischof stehenden Bischöfe der Salzburger Kirche		10869	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
13	Germ.Pont. 1	143	14		367	Tours	29 Mai (1163)	1163-05-29	1163-05-29	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard, Bischof Hartmann von Brixen, die übrigen unter dem Erzbischof stehenden Bischöfe der Salzburger Kirche		10869	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
14	Germ.Pont. 1	210	2		368	Bourges	02 August 1163	1163-08-02	1163-08-02	Alexander III.	Alexander III.	Abt Bernard (I.) von Lambach		10919	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
15	Germ.Pont. 1	26	83		369	–	(1159-1164)	1159-01-01	1164-12-31	Alexander III.	Hadrianus IV.	Salzburger Erzbischof (Eberhard von Biburg)		10445	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
16	Germ.Pont. 1	201	36		370	Sens	22 März (1164)	1164-03-22	1164-03-22	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard		11011	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
17	Germ.Pont. 1	31	98		370	Sens	22 März (1164)	1164-03-22	1164-03-22	Alexander III.	Alexander III.	Salzburger Erzbischof Eberhard		11011	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
18	Germ.Pont. 1	201	37		371	Sens	22 März (1164)	1164-03-22	1164-03-22	Alexander III.	Alexander III.	Lehrer Gerhoch von Reichersberg		11012	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
19	Germ.Pont. 1	31	99	*	*372	–	(März 1165)	1165-03-01	1165-03-31	Alexander III.	Alexander III.	Erzbischof Konrad I. von Wittelsbach		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
20	Germ.Pont. 1	54	3		373	Benevento	24 November (1167)	1167-11-24	1167-11-24	Alexander III.	Alexander III.	Abt Heinrich von Biburg		11363	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
21	Germ.Pont. 1	316	5		373	Benevento	24 November (1167)	1167-11-24	1167-11-24	Alexander III.	Alexander III.	Abt Heinrich von Biburg		11363	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
22	Germ.Pont. 1	54	4		374	Benevento	24 November (1167)	1167-11-24	1167-11-24	Alexander III.	Alexander III.	Mönchsbrüder des Klosters Biburg		11364	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
23	Germ.Pont. 1	317	6		374	Benevento	24 November (1167)	1167-11-24	1167-11-24	Alexander III.	Alexander III.	Mönchsbrüder des Klosters Biburg		11364	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
24	Germ.Pont. 1	31	101	*	*375	–	(Februar – März) 1169	1169-02-01	1169-03-31	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert		11584	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
25	Germ.Pont. 1	130	2		376	Benevento	05 März 1169	1169-03-05	1169-03-05	Alexander III.	Alexander III.	Dompropst Roman II. von Leibnitz (Gurk)		11599	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
26	Germ.Pont. 1	67	5		377	Benevento	01 Juli 1169	1169-07-01	1169-07-01	Alexander III.	Alexander III.	Propst Adalhart I. (des Klosters Zeno) Bad Reichenhall		11630	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
27	Germ.Pont. 1	32	103		378	Tusculanum	28 Januar (1171)	1171-01-28	1171-01-28	Alexander III.	Alexander III.	Wladislaw II. König von Böhmen		11875	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
28	Germ.Pont. 1	97	1		379	Tusculanum	31 Januar 1171	1171-01-31	1171-01-31	Alexander III.	Alexander III.	Propst Liupold (von Travesse des Stiftes) Vorau		11876	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
29	Germ.Pont. 1	92	11		380	Tusculanum	10 Februar 1171	1171-02-10	1171-02-10	Alexander III.	Alexander III.	Abt Liutold von Admont Mönch des heiligen Blasius		11878	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
30	Germ.Pont. 1	92	12		381	Tusculanum	10 Februar (1171)	1171-02-10	1171-02-10	Alexander III.	Alexander III.	Abt Liutold von Admont		11879	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
31	Germ.Pont. 1	114	1		381	Tusculanum	10 Februar (1171)	1171-02-10	1171-02-10	Alexander III.	Alexander III.	Abt Liutold von Admont		11879	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
32	Germ.Pont. 1	100	2		382	Tusculanum	10 Februar 1171	1171-02-10	1171-02-10	Alexander III.	Alexander III.	Propst Wernher (von Galler) von Seckau der Kirche der heiligen Maria		11877	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
33	Germ.Pont. 1	93	13		383	Tusculanum	06 März (1171)	1171-03-06	1171-03-06	Alexander III.	Alexander III.	Abt Liutold von Admont		11885	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
34	Germ.Pont. 1	114	2		383	Tusculanum	06 März (1171)	1171-03-06	1171-03-06	Alexander III.	Alexander III.	Abt Liutold von Admont		11885	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
35	Germ.Pont. 1	32	104		384	Tusculanum	14 März (1171) (12 Februar ?)	1171-03-14	1171-02-12	Alexander III.	Alexander III.	Heinrich II. Herzog von Österreich		11886	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
36	Germ.Pont. 1	260	4		384	Tusculanum	14 März (1171) (12 Februar ?)	1171-03-14	1171-02-12	Alexander III.	Alexander III.	Heinrich II. Herzog von Österreich		11886	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
37	Germ.Pont. 1	33	105	*	*385	–	(Januar - März 1171)	1171-01-01	1171-03-31	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
38	Germ.Pont. 1	202	40		386	–	[1171]	1171-01-01	1171-12-31	Alexander III.	Alexander III.	Propst Arno von Reichersberg		11920	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
39	Germ.Pont. 1	80	1		387	Tusculanum	15 Juni  ( 1171-1172)	1171-06-15	1172-06-15	Alexander III.	Alexander III.	Alle Priester und Kleriker in Gars, die durch den Erzdiakon festgesetzt sind			a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
40	Germ.Pont. 1	33	106		388	Tusculanum	25 Januar (1172)	1172-01-25	1172-01-25	Alexander III.	Alexander III.	Bischof Heinrich I. von Gurk, Salzburger Propst Siboto, Gurker Propst Roman I., Kanoniker der Salzburger Kirche		12132	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
41	Germ.Pont. 1	49	7		388	Tusculanum	25 Januar (1172)	1172-01-25	1172-01-25	Alexander III.	Alexander III.	Bischof Heinrich I. von Gurk, Salzburger Propst Siboto, Gurker Propst Roman I., Kanoniker der Salzburger Kirche		12132	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
42	Germ.Pont. 1	126	10		388	Tusculanum	25 Januar (1172)	1172-01-25	1172-01-25	Alexander III.	Alexander III.	Bischof Heinrich I. von Gurk, Salzburger Propst Siboto, Gurker Propst Roman I, Kanoniker der Salzburger Kirche		12132	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
43	Germ.Pont. 1	131	3		388	Tusculanum	25 Januar (1172)	1172-01-25	1172-01-25	Alexander III.	Alexander III.	Bischof Heinrich I. von Gurk, Salzburger Propst Siboto, Gurker Propst Roman I, Kanoniker der Salzburger Kirche		12132	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
44	Germ.Pont. 1	34	107	*	*389	–	(cr. 25 Januar 1172)	1172-01-25	1172-01-25	Alexander III.	Alexander III.	Bischof Heinrich I. von Gurk, Salzburger Propst Siboto, Gurker Propst Roman I, Kanoniker der Salzburger Kirche		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
45	Germ.Pont. 1	34	108	*	390	–	(cr. 25 Januar 1172)	1172-01-25	1172-01-25	Alexander III.	Alexander III.	(Salzburger) Erzbischof Adalbert (III. von Böhmen)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
46	Germ.Pont. 1	34	110		391	(Tusculanum)	12 Juni (1172)	1172-06-12	1172-06-12	Alexander III.	Alexander III.	Salzburger Propst Siboto, Gurker Propst Roman I.		12153	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
47	Germ.Pont. 1	49	8		391	(Tusculanum)	12 Juni (1172)	1172-06-12	1172-06-12	Alexander III.	Alexander III.	Salzburger Propst Siboto, Gurker Propst Roman I.		12153	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
48	Germ.Pont. 1	131	4		391	(Tusculanum)	12 Juni (1172)	1172-06-12	1172-06-12	Alexander III.	Alexander III.	Salzburger Propst Siboto, Gurker Propst Roman I.		12153	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
49	Germ.Pont. 1	126	11		392	Tusculanum	16 Juni (1172)	1172-06-16	1172-06-16	Alexander III.	Alexander III.	Bischof Heinrich I. von Gurk		12154	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
50	Germ.Pont. 1	172	51	*	*393	–	23 September 1172	1172-09-23	1172-09-23	Alexander III.	Alexander III. (mit Erlaubnis)	Bischof Dietpold (Graf von Berg) (von Passau)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
51	Germ.Pont. 1	35	111		394	Anagni	12 April (1173)	1173-04-12	1173-04-12	Alexander III.	Alexander III.	Alle kirchlichen Prälaten, die durch den Salzburger Erzbischof ernannt wurden		12222	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
52	Germ.Pont. 1	35	112	*	*395	–	(1173 ex.- 1174 in.)	1173-01-01	1174-12-31	Alexander III.	Alexander III.	Erzbischof Adalbert (III. von Böhmen)		11428	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
53	Germ.Pont. 1	114	3	*	*396	–	(1173 ex.- 1174 in.)	1173-01-01	1174-12-31	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
54	Germ.Pont. 1	137	1		397	Anagni	02 Juni ( 1173-1174)	1173-06-02	1174-06-02	Alexander III.	Alexander III.	Karthäuseräbte und Karthäuserbrüder		12292	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
55	Germ.Pont. 1	127	12		397	Anagni	02 Juni ( 1173-1174)	1173-06-02	1174-06-02	Alexander III.	Alexander III.	Karthäuseräbte und Karthäuserbrüder (in Geirach)		12292	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
56	Germ.Pont. 1	408	1		398	Anagni	30 Januar 1174	1174-01-30	1174-01-30	Alexander III.	Alexander III.	Propst Heinrich von Sankt Maria in Au und seine Brüder		12339	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
57	Germ.Pont. 1	114	4		399	Anagni	22 April 1174	1174-04-22	1174-04-22	Alexander III.	Alexander III.	Äbtissin Berta des heiligen Georgus in Kärnten neben dem Längssee		12371	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
58	Germ.Pont. 1	115	5		400	Anagni	02 Juni (1174)	1174-06-02	1174-06-02	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		12382	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
59	Germ.Pont. 1	35	113		400	Anagni	02 Juni (1174)	1174-06-02	1174-06-02	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		12382	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
60	Germ.Pont. 1	35	114		401	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad und Gesandter des apostolischen Stuhls		12390	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
61	Germ.Pont. 1	63	16		401	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad (I. von Wittelsbach)		12390	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
62	Germ.Pont. 1	127	13		401	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad (I. von Wittelsbach), Gesandter des Apostolischen Stuhls		12390	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
63	Germ.Pont. 1	143	15		401	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad (I. von Wittelsbach), Gesandter des Apostolischen Stuhls		12390	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
64	Germ.Pont. 1	36	115		402	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	(Salzburger) Propst Siboto, Chor der Salzburger Kirche		12391	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
65	Germ.Pont. 1	50	9		402	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	(Salzburger) Propst Siboto, Chor der Salzburger Kirche		12391	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
66	Germ.Pont. 1	36	116		403	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		12392	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
67	Germ.Pont. 1	127	14	*	*404	–	(Oktober - Dezember) 1174	1174-10-01	1174-12-31	Alexander III.	Alexander III.	Roman, Blutsverwandter des früheren Propstes Roman I. von Gurk		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
68	Germ.Pont. 1	335	17		405	–	(cr. 1174)	1174-01-01	1174-12-31	Alexander III.	Alexander III.	Bischof Albert (I. von Harthausen) Freising		13938	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
69	Germ.Pont. 1	323	3	*	*406	(Anagni)	(06 Dezember  1173-1175)	1173-12-06	1175-12-06	Alexander III.	Alexander III.	Bischof von Regensburg (Konrad von Raitenbuch)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
70	Germ.Pont. 1	273	27	*	*406	(Anagni)	(06 Dezember  1173-1175)	1173-12-06	1175-12-06	Alexander III.	Alexander III.	Bischof von Regensburg (Konrad von Raitenbuch), seinen Nachfolgern		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
71	Germ.Pont. 1	324	4	*	*407	(Anagni)	(06 Dezember  1173-1175)	1173-12-06	1175-12-06	Alexander III.	Alexander III.	Gräfin Liutgard von Bogen und ihr Sohn Albert (III. von Bogen)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
72	Germ.Pont. 1	396	1	*	*407	(Anagni)	(06 Dezember  1173-1175)	1173-12-06	1175-12-06	Alexander III.	Alexander III.	Gräfin Liutgard von Bogen und ihr Sohn Albert (III. von Bogen)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
73	Germ.Pont. 1	324	5		408	Anagni	6 Dezember  (1173-1175)	1173-12-06	1175-12-06	Alexander III.	Alexander III.	Abt  (Ulrich), Kapitel der Kirche Niederaltaich		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
