Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Notiz
1	It.Pont. 1	67	8	*	444	–	06 Juni 1161	1161-06-06	1161-06-06	Alexander III.	Alexander III.	kein direkter Empfänger	Kirchenweihe	–	
2	It.Pont. 1	175	11		445	Palestrina	10 Juli 1161	1161-07-10	1161-07-10	Alexander III.	Alexander III.	Abt Baldinonus Kloster Tre Fontane etc.		10670	
3	It.Pont. 1	67	9		446	Terracina	30 September 1161	1161-09-30	1161-09-30	Alexander III.	Alexander III.	Prior Hugo und die Brüder (der Basilika Santa Maria Nova (Santa Francesca Romana al Palatino)		10679	
4	It.Pont. 1	163	4		446	Terracina	30 September 1161	1161-09-30	1161-09-30	Alexander III.	Alexander III.	Prior Hugo und die Brüder der Basilika Santa Maria Nova (Santa Francesca Romana al Palatino)		10679	
5	It.Pont. 1	67	10	*	447	–	[1161]	1161-01-01	1161-12-31	Alexander III.	Alexander III.	kein direkter Empfänger	Alexander III. gibt römischen Konsul Ottone Frangipani Zustimmung der Güterschenkung	–	
6	It.Pont. 1	181	12	*	*451	–	[1165 in.]	1165-01-01	1165-12-31	Alexander III.	Alexander III.	Kardinalpriester Johannes (Antwortschreiben auf Briefe)		–	
7	It.Pont. 1	37	6		452	Laterano	16 April 1166	1166-04-16	1166-04-16	Alexander III.	Alexander III.	Kardinalpriester Hubaldus (Ubaldo Caccianemici) etc. (Basilika Santa Croce in Gerusalemme (Rom))		11269	
8	It.Pont. 1	77	23		453	Laterano	16 April 1166	1166-04-16	1166-04-16	Alexander III.	Alexander III.	Erzbischof Konrad (I. Von Wittelsbach) von Mainz und Kardinalpriester von San Marcello, Kleriker eben dieser Kirche		–	
9	It.Pont. 1	103	1		453	Laterano	16 April 1166	1166-04-16	1166-04-16	Alexander III.	Alexander III.	Erzbischof Konrad (I. Von Wittelsbach) von Mainz und Kardinalpriester von San Marcello etc.		–	
10	It.Pont. 1	192	6	*	*454	–	[September 1166-September 1167]	1166-09-01	1167-09-30	Alexander III.	Alexander III.	Verpflichtung der Brüder Otto (der „Ältere“) und Cencius aus dem Geschlecht der Frangipani zur Rückkehr nach Benevento		–	
11	It.Pont. 1	181	13	*	*457	–	[Oktober 1170]	1170-10-01	1170-10-31	Alexander III.	Alexander III.	römisches Volk		–	
12	It.Pont. 1	196	1		458	Tusculano?	18 August [1171-1172]	1171-08-18	1172-08-18	Alexander III.	Alexander III.	an den römischen Bürger der Malabranca		–	
13	It.Pont. 1	169	21		461	Ferentino	10 Juni 1175	1175-06-10	1175-06-10	Alexander III.	Alexander III.	Bischof Rainald von Aquino		–	
14	It.Pont. 1	67	11	*	*462	–	[1174-1175]	1174-01-01	1175-12-31	Alexander III.	Alexander III.	Prior der Lateransbasilika (oder St. Quiricus), Erzpriester von Sankt Maria Maioris und I. Priester und Subdiakon Hubertus		–	
15	It.Pont. 1	67	12		463	Ferentino	09 Oktober [1174-1175]	1174-10-09	1175-10-09	Alexander III.	Alexander III.	Abt und den Brüdern von St. Sebastian		12431	
16	It.Pont. 1	164	6		463	Ferentino	09 Oktober [1174-1175]	1174-10-09	1175-10-09	Alexander III.	Alexander III.	Abt und Brüder von St. Sebastian		12431	
17	It.Pont. 1	68	13		465	Anagni	01 Dezember [1175]	1175-12-01	1175-12-01	Alexander III.	Alexander III.	Prior Jordanus und Kanoniker (St. Maria Novae/ Santa Francesca Romana)		–	
18	It.Pont. 1	164	7		465	Anagni	01 Dezember [1175]	1175-12-01	1175-12-01	Alexander III.	Alexander III.	Prior Jordanus und Kanoniker St. Maria Novae (Santa Francesca Romana)		–	
19	It.Pont. 1	177	4		466	Anagni	18 Januar 1176	1176-01-18	1176-01-18	Alexander III.	Alexander III.	Abt Amabilus St. Pancrazio (Rom)		–	
20	It.Pont. 1	94	2		468	Anagni	19 Juli [1173-1176]	1173-07-19	1176-07-19	Alexander III.	Alexander III.	Erzpriester Petrus und Kleriker der Kirche St. Eustachio (Rom)		–	
21	It.Pont. 1	97	4		468	Anagni	19 Juli [1173-1176]	1173-07-19	1176-07-19	Alexander III.	Alexander III.	Erzpriester Petrus und die Kleriker der Kirche St. Eustachio (Rom)		–	
22	It.Pont. 1	72	5		469	Anagni	16 Juli [1160-1176]	1160-07-16	1176-07-16	Alexander III.	Alexander III.	Prior und Kleriker der Basilika Santi XII Apostoli (der 12 Apostel)		12608	
23	It.Pont. 1	18	3		470	Anagni	16 Juli  [1160-1176]	1160-07-16	1176-07-16	Alexander III.	Alexander III.	Vorsänger und Kleriker der Sängerschule		12609	
24	It.Pont. 1	72	6		470	Anagni	16 Juli [1160-1176]	1160-07-16	1176-07-16	Alexander III.	Alexander III.	Vorsänger und Kleriker der Sängerschule		12609	
25	It.Pont. 1	192	8	*	*471	–	[1159-1176]	1159-01-01	1176-12-31	Alexander III.	Alexander III.	kein direkter Empfänger	Einigung mit Petrus Frangipani über Zahlung von 500 Silbergulden Provenien.	–	
26	It.Pont. 1	193	9	*	*472	–	[1173-1176]	1173-01-01	1176-12-31	Alexander III.	Alexander III.	Kein direkter Empfänger	Übergabe der Burg Tiberiae an Johannes, Petrus, Leo (Söhne des Cinthius Frangipani)	–	
27	It.Pont. 1	193	10		*473	–	17 Oktober 1176	1176-10-17	1176-10-17	Alexander III.	Alexander III.	kein direkter Empfänger	Zahlung Alexanders III. 500 Silbergulden Provenien. 130 Silbergulden	12736a	
